date,province,city,eci,imsregattempnum,imsregsucnum,imsregfailradionum,imsregfailnetnum,cnvolteconnattempnum,cnvolteconnsucnum,cnvolteconnfailradionum,cnvolteconnfailnetnum,cnvoltedropnum,bsrvcchoattempnum,bsrvcchosucnum,bsrvcchofailradionum,bsrvcchofailnetnum,asrvcchoattempnum,asrvcchosucnum,asrvcchofailradionum,asrvcchofailnetnum,esrvcchoattempnum,esrvcchosucnum,esrvcchofailradionum,esrvcchofailnetnum,srvcchoattempnum,srvcchosucnum,srvcchofailradionum,srvcchofailnetnum,vvcondelaytoohighnum,intecondelaytoohighnum,ci_erlang,vvcondelay,intecondelay,cellname,vendor,scenario,sdate,report_id
20180809,贵州,贵阳,46000026632067,946,931,0,2,1765,1566,1,12,0,2,2,0,0,5,5,0,0,6,6,0,0,13,13,0,0,8,196,3.37,2308.64,5105.59,1HX-久安乡吴山村LFHB-ZD-3,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026644875,1014,911,0,65,328,297,0,1,0,0,0,0,0,1,1,0,0,6,6,0,0,7,7,0,0,0,178,4.66,2518.14,4495.70,1GS-中铁逸都b组团43栋LEHB-ZG-11,华为,高层居民区,,11962
20180809,贵州,贵阳,46000026660867,299,298,0,0,124,109,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,36,1.65,2373.43,7221.91,1QZ-林木山LFDB-ZN-3,大唐,村庄,,11962
20180809,贵州,贵阳,46000026651274,1205,1151,0,26,631,568,0,1,0,0,0,0,0,0,0,0,0,9,9,0,0,9,9,0,0,7,317,9.16,2450.44,5255.43,1NM-花果园k区车库负三负四层LEDB-ZG-10,大唐,高层居民区,,11962
20180809,贵州,贵阳,46000026659466,672,666,0,0,269,255,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,2,80,4.16,3041.17,5397.69,1NM-仙人洞路五金店拉远LDDY-ZD-2,大唐,低层居民区,,11962
20180809,贵州,贵阳,46000026602769,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1BY-白云中路65栋拉远LDHY-ZD-5,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026600966,19,19,0,0,67,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.00,0.00,0.00,1XH-摆郎村摆郎路拉远LDHY-ZD-2,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026664065,589,589,0,0,427,392,0,2,0,6,6,0,0,6,6,0,0,0,0,0,0,12,12,0,0,0,160,2.50,2200.29,5198.03,1QZ-华丰物流食品城LFDB-SJ-1,大唐,商业中心,,11962
20180809,贵州,贵阳,46000026602765,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1BY-春雨新院拉远LDHY-ZD-1,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026606465,47,47,0,0,35,34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,30,0.31,0.00,6545.67,1GS-中天金融中心一期3号楼高层LEHY-SX-10,华为,写字楼,,11962
20180809,贵州,贵阳,46000026664066,438,436,0,1,454,420,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1.83,2656.50,4374.77,1QZ-华丰物流食品城LFDB-SJ-2,大唐,商业中心,,11962
20180809,贵州,贵阳,46000026632065,213,206,0,3,428,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,1.30,2097.80,5484.38,1HX-久安乡吴山村LFHB-ZD-1,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026686465,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1XW-利尔上河城12至21栋对打LFDY-ZG-1,大唐,高层居民区,,11962
20180809,贵州,贵阳,46000026665771,7,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1NM-华玉小区拉远LDDY-ZD-7,大唐,低层居民区,,11962
20180809,贵州,贵阳,46000026632066,339,337,0,2,436,388,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,161,2.38,2294.22,5968.91,1HX-久安乡吴山村LFHB-ZD-2,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026616066,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1GS-长岭阳光3至7栋对打LFHY-ZG-2,华为,高层居民区,,11962
20180809,贵州,贵阳,46000026627979,166,165,0,0,170,147,0,1,0,2,2,0,0,0,0,0,0,5,5,0,0,7,7,0,0,0,64,1.70,2293.40,6841.25,1GS-省移动调度指挥中心副楼1层LDHB-QY-15,华为,企事业单位,,11962
20180809,贵州,贵阳,46000026660865,348,345,0,0,155,142,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1.07,2541.25,5063.81,1QZ-林木山LFDB-ZN-1,大唐,村庄,,11962
20180809,贵州,贵阳,46000026680966,300,300,0,0,179,169,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,66,1.21,2298.67,5378.93,Y-1NM-森林花园小区拉远LDDY-ZD-2,大唐,低层居民区,,11962
20180809,贵州,贵阳,46000026651275,502,502,0,0,238,215,0,1,0,0,0,0,0,2,2,0,0,8,8,0,0,10,10,0,0,10,88,2.31,2276.75,4816.02,1NM-花果园k区车库负一负二层LEDB-ZG-11,大唐,高层居民区,,11962
20180809,贵州,贵阳,46000026600965,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1XH-摆郎村摆郎路拉远LDHY-ZD-1,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026632068,125,124,0,0,178,168,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0.00,3447.20,0.00,Y-1HX-久安乡吴山村LFHB-ZD-2,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026619265,36,36,0,0,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.10,0.00,7346.00,1GS-中天铭廷2至4栋对打LFHY-ZG-1,华为,高层居民区,,11962
20180809,贵州,贵阳,46000026657666,23,23,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0.00,0.00,1XF-息开竹寨桥LFDB-JS-2,大唐,高速公路,,11962
20180809,贵州,贵阳,46000026627978,258,258,0,0,182,162,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,115,1.30,2478.64,6043.15,1GS-省移动调度指挥中心副楼1层LEHB-QY-14,华为,企事业单位,,11962
20180809,贵州,贵阳,46000026660866,594,590,0,0,289,266,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,4,4,0,0,0,152,2.03,0.00,5054.54,1QZ-林木山LFDB-ZN-2,大唐,村庄,,11962
20180809,贵州,贵阳,46000026612865,1185,1183,0,2,569,517,2,8,0,1,1,0,0,6,6,0,0,20,20,0,0,27,27,0,0,5,316,5.57,2403.16,5518.81,1XH-金桂园大门口拉远LDHY-ZD-1,华为,低层居民区,,11962
20180809,贵州,贵阳,46000026688267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1QZ-幼师2LDDB-JJ-3,大唐,郊区道路,,11962
20180809,贵州,贵阳,46000026644874,596,584,0,0,297,261,0,1,1,0,0,0,0,0,0,0,0,6,4,2,2,6,4,2,2,0,131,3.08,2448.00,5054.22,1GS-中铁逸都b组团41栋LEHB-ZG-10,华为,高层居民区,,11962
20180809,贵州,贵阳,46000026616966,148,147,0,0,55,49,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,12,0.67,0.00,3681.42,1GS-金融中心二期n5栋高层LEHY-SX-11,华为,写字楼,,11962
20180809,贵州,贵阳,46000026616065,7,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1GS-长岭阳光1栋2栋8栋9栋对打LFHY-ZG-1,华为,高层居民区,,11962
20180809,贵州,贵阳,46000026681474,51,51,0,0,15,15,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0.01,0.00,0.00,1NM-机场宾馆大楼1层LEDB-XU-10,大唐,星级酒店,,11962
20180809,贵州,贵阳,46000026619266,11,11,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.04,0.00,6074.67,1GS-中天铭廷5至8栋对打LFHY-ZG-2,华为,高层居民区,,11962
20180809,贵州,贵阳,46000026680967,967,939,0,1,601,509,0,3,0,0,0,0,0,5,5,0,0,15,15,0,0,20,20,0,0,0,217,2.62,2545.60,5039.36,Y-1NM-森林故事3栋拉远LDDY-ZD-3,大唐,低层居民区,,11962
20180809,贵州,贵阳,46000026657665,894,893,0,0,573,529,0,0,0,0,0,0,0,2,2,0,0,6,6,0,0,8,8,0,0,0,118,2.85,2107.94,4797.53,1XF-息开竹寨桥LFDB-JS-1,大唐,高速公路,,11962
20180809,贵州,贵阳,46000026684674,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,1WD-未来方舟f6区1栋LEDY-ZG-10,大唐,高层居民区,,11962
